Force_Transmissibility_Base0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Force Trans. Base,
1.8423,1.41804,
1.8442,1.41749,
1.8461,1.41694,
1.848,1.4164,
1.8499,1.41586,
1.8518,1.41532,
1.8537,1.41478,
1.8556,1.41426,
1.8575,1.41373,
1.8594,1.41321,
1.8613,1.41269,
1.8632,1.41217,
1.8651,1.41166,
1.867,1.41115,
1.8689,1.41065,
1.8708,1.41015,
1.8727,1.40965,
1.8746,1.40916,
1.8765,1.40866,
1.8784,1.40818,
1.8803,1.40769,
1.8822,1.40721,
1.8841,1.40674,
1.886,1.40626,
1.8879,1.40579,
1.8898,1.40533,
1.8917,1.40486,
1.8936,1.4044,
1.8955,1.40395,
1.8974,1.40349,
1.8993,1.40304,
1.9012,1.40259,
1.9031,1.40215,
1.905,1.40171,
1.9069,1.40127,
1.9088,1.40084,
1.9107,1.40041,
1.9126,1.39998,
1.9145,1.39955,
1.9164,1.39913,
1.9183,1.39871,
1.9202,1.39829,
1.9221,1.39788,
1.924,1.39747,
1.9259,1.39706,
1.9278,1.39666,
1.9297,1.39626,
1.9316,1.39586,
1.9335,1.39547,
1.9354,1.39507,
1.9373,1.39468,
1.9392,1.3943,
1.9411,1.39391,
1.943,1.39353,
1.9449,1.39315,
1.9468,1.39278,
1.9487,1.3924,
1.9506,1.39203,
1.9525,1.39167,
1.9544,1.3913,
1.9563,1.39094,
1.9582,1.39058,
1.9601,1.39023,
1.962,1.38987,
1.9639,1.38952,
1.9658,1.38917,
1.9677,1.38883,
1.9696,1.38848,
1.9715,1.38814,
1.9734,1.38781,
1.9753,1.38747,
1.9772,1.38714,
1.9791,1.38681,
1.981,1.38648,
1.9829,1.38615,
1.9848,1.38583,
1.9867,1.38551,
1.9886,1.38519,
1.9905,1.38488,
1.9924,1.38457,
1.9943,1.38426,
1.9962,1.38395,
1.9981,1.38364,
2,1.38334,
